id_carmodel	brand	model	grade
1464	BMW	1 Series	118d Joy
70	BMW	1 Series	118d Sport OE
79	BMW	3 Series	320d
77	BMW	3 Series	320d ED
80	BMW	3 Series	320d M Sport
1207	BMW	3 Series	320d Touring M Sport
81	BMW	3 Series	320d xDrive
82	BMW	3 Series	320i Luxury
1465	BMW	3 Series	320i M Sport
83	BMW	3 Series	328i M Sport
108	BMW	3 Series Gran Turismo	320d GT
109	BMW	3 Series Gran Turismo	320d GT Luxury
110	BMW	3 Series Gran Turismo	320d GT xDrive
111	BMW	3 Series Gran Turismo	320d GT xDrive Sport
92	BMW	4 Series	Convertible 428i OE
85	BMW	4 Series	Coupe 420d M Sport OE
86	BMW	4 Series	Coupe 420d xDrive M Sport OE
87	BMW	4 Series	Coupe 428i M Sport OE
89	BMW	4 Series	Gran Coupe 420d Luxury
84	BMW	4 Series	Gran Coupe 420d Luxury OE
90	BMW	4 Series	Gran Coupe 420d xDrive Sport
1466	BMW	4 Series	Gran Coupe 420d xDrive Sport OE
88	BMW	4 Series	Gran Coupe 420i Luxury
73	BMW	4 Series	Gran Coupe 420i Luxury OE
91	BMW	4 Series	Gran Coupe 435d xDrive M Sport
78	BMW	4 Series	Gran Coupe 435d xDrive M Sport OE
1442	BMW	5 Series	520d Luxury Plus Pro
1441	BMW	5 Series	520d M Aerodynamic Pro
1446	BMW	5 Series	520d xDrive Luxury Plus Pro
1443	BMW	5 Series	520d xDrive M Aerodynamic Pro
1445	BMW	5 Series	528i Luxury Plus Pro
1444	BMW	5 Series	528i M Aerodynamic Pro
1821	BMW	5 Series	528i M Aerodynamic Pro SpecialEdition
1448	BMW	5 Series	528i xDrive Luxury Plus Pro
1447	BMW	5 Series	528i xDrive M Aerodynamic Pro
1822	BMW	5 Series	528i xDrive M Aerodynamic Pro SpecialEdition
1449	BMW	5 Series	530d xDrive M Aerodynamic Pro
94	BMW	5 Series	sedan 520d Luxury Plus Edition
93	BMW	5 Series	sedan 520d M Aerodynamic Edition
96	BMW	5 Series	sedan 520d xDrive Luxury Plus Edition
95	BMW	5 Series	sedan 520d xDrive M Aerodynamic Edition
97	BMW	5 Series	sedan 528i
98	BMW	5 Series	sedan 528i Luxury Plus
99	BMW	5 Series	sedan 528i xDrive
100	BMW	5 Series	sedan 528i xDrive Luxury Plus
101	BMW	5 Series	sedan 530dxDrive MAerodynamic edition
104	BMW	5 Series	sedan M550d xDrive Aerodynamic
106	BMW	5 Series Gran Turismo	GT 30d xDrive Luxury OE
107	BMW	5 Series Gran Turismo	GT 35i xDrive Luxury OE
105	BMW	5 Series Gran Turismo	GT ED Luxury OE
114	BMW	6 Series	Convertible 650i
112	BMW	6 Series	Gran Coupe 640d xDrive M Sport
116	BMW	7 Series	730d xDrive
115	BMW	7 Series	730d xDrive Premium
118	BMW	7 Series	730Ld xDrive
117	BMW	7 Series	730Ld xDrive Premium
1473	BMW	7 Series	740d xDrive M Sport
1474	BMW	7 Series	740Ld xDrive
1818	BMW	7 Series	740Li xDrive
121	BMW	7 Series	750Li xDrive
119	BMW	7 Series	750Li xDrive  Premium
120	BMW	7 Series	750Li xDrive Luxury
122	BMW	7 Series	750Li xDrive Prestige
74	BMW	Active Tourer	JOY 
76	BMW	Active Tourer	JOY Launch Pkg
75	BMW	Active Tourer	Luxury 
206	BMW	i3	LUX
207	BMW	i3	SOL
208	BMW	i3	SOL+
209	BMW	i8	1.5 PHEV
123	BMW	M	M3 Silencer
125	BMW	M	M4 Convertible Cilencer
124	BMW	M	M4 Coupe Silencer
126	BMW	M	M5
202	BMW	M	M6 Coupe
128	BMW	M	M6 Gran Coupe
200	BMW	M	X5 M
201	BMW	M	X6 M
1461	BMW	X1	xDrive 18d
1462	BMW	X1	xDrive 20d
1463	BMW	X1	xDrive 20d M Sport
1640	BMW	X3	xDrive 20d M Aerodynamic
211	BMW	X3	xDrive 20d xLine
212	BMW	X3	xDrive 30d M Sport OE
1819	BMW	X4	M40i
213	BMW	X4	xDrive 20d xLine OE
214	BMW	X4	xDrive 30d M Sport OE
1469	BMW	X5	xDrive 30d (7-Seater)
215	BMW	X5	xDrive 30d OE
216	BMW	X5	xDrive 40d M Sport OE
218	BMW	X5	xDrive M 50d OE
221	BMW	X6	M 50d OE
